"nombre","nombre_cientifico","descripcion"
"Spirea Thunbergii","Spiraea thunbergii","Arbusto caducifolio de origen asiático, muy usado como ornamental por su floración temprana de pequeñas flores blancas que cubren las ramas antes de la brotación de hojas, en fines de invierno-inicio de primavera. Alcanza 1,5-2 m de altura, con ramas arqueadas y follaje fino verde claro que toma tonos amarillo-anaranjados en otoño. Prefiere sol pleno o media sombra, suelo bien drenado y riego moderado; es rústico y resistente a heladas. Se usa como arbusto aislado, en macizos o setos informales. Poda ligera después de la floración para mantener forma."
"Rododendro Rosse","Rhododendron hybrida 'Rosse'","Variedad de rododendro híbrido de hoja perenne, cultivado por sus llamativas flores en tonos rosados/rojos agrupadas en racimos (trusses) durante primavera. Arbusto de porte compacto a mediano, entre 1-1,5 m, con hojas coriáceas verde oscuro. Requiere suelo ácido, rico en materia orgánica y bien drenado; prefiere media sombra o sol filtrado, protegido del viento y sol directo intenso. Riego regular sin encharcamiento. Ideal para jardines de estilo inglés, bordes de sombra y macizos junto a azaleas y camelias. Sensible a suelos calcáreos."
"Rododendro Golden Gate","Rhododendron hybrida 'Golden Gate'","Híbrido de rododendro de hoja perenne con flores en tonos naranja-rojizo o salmón intenso, muy decorativas en primavera. Porte arbustivo compacto, 1-1,2 m de altura, follaje verde oscuro brillante. Necesita suelo ácido, húmedo pero bien drenado, y ubicación en media sombra o sol matinal. Sensible al calor extremo y al viento seco. Muy utilizado en jardines ornamentales, bordes y contenedores. Fertilización específica para acidófilas recomendada en primavera."
"Rododendro Virginia Richard","Rhododendron hybrida 'Virginia Richards'","Rododendro híbrido de hoja perenne apreciado por sus flores grandes en tonos crema-amarillo con bordes rosados o salmón, de floración vistosa en primavera. Arbusto de tamaño mediano (1-1,5 m), follaje denso verde oscuro. Requiere suelo ácido, fértil, con buen drenaje y riego constante; prefiere media sombra, protegido de sol directo del mediodía. Ideal para jardines de estilo bosque, combinando con helechos y otras acidófilas. Poda de mantenimiento tras la floración."
"Rododendro Flor Haba","Rhododendron hybrida","Variedad de rododendro de hoja perenne de floración abundante, con flores tipo campana agrupadas en racimos, en tonos que van del rosado al lila según variedad. Arbusto de 1-1,5 m, follaje coriáceo verde oscuro todo el año. Exige suelo ácido, húmedo y bien drenado, y exposición de media sombra. Sensible a sequía y a suelos calcáreos. Muy usado como arbusto ornamental de temporada de primavera en jardines y parques."
"Rododendro Snow Lady","Rhododendron hybrida 'Snow Lady'","Rododendro híbrido de hoja perenne de floración temprana y flores blancas grandes, muy fragantes, que aparecen antes que muchas otras variedades. Porte compacto, 1-1,2 m de altura, follaje verde oscuro. Requiere suelo ácido, rico en materia orgánica, buen drenaje y media sombra; sensible a heladas tardías por su floración temprana. Ideal para macizos de sombra, jardines de estilo japonés y combinaciones con azaleas."
"Rododendro May Day","Rhododendron hybrida 'May Day'","Híbrido de rododendro de hoja perenne con flores rojo intenso en forma de campana, de gran impacto visual en primavera. Arbusto compacto, 1-1,2 m, follaje verde oscuro brillante todo el año. Prefiere suelo ácido, húmedo pero drenado, y exposición de media sombra o sol matinal suave. Buena opción para bordes de camino, jardines de sombra parcial y combinaciones con coníferas enanas."
"Murta variegata","Ugni molinae 'Variegata'","Arbusto de hoja perenne, variante ornamental de la murta chilena, con hojas pequeñas abigarradas (verde con bordes crema/blanco) muy decorativas todo el año. Produce flores blancas o rosadas colgantes en primavera-verano y pequeños frutos rojos comestibles y aromáticos en otoño. Altura entre 0,8-1,5 m, crecimiento lento a moderado. Prefiere sol pleno o media sombra, suelo bien drenado y riego moderado; tolera podas para setos bajos. Muy usada en jardinería ornamental por su follaje variegado y frutos decorativos/comestibles."
"Rododendro Elizabeth","Rhododendron 'Elizabeth'","Híbrido de rododendro de hoja perenne, de porte bajo y compacto (0,6-1 m), ideal para jardines pequeños o rocosos. Flores grandes en forma de trompeta, de color rojo intenso, en primavera. Requiere suelo ácido, húmedo, bien drenado y media sombra, protegido de viento y sol fuerte del mediodía. Floración abundante y temprana; muy valorado por su tamaño compacto que permite usarlo en macetas y bordes."
"Roble americano","Quercus rubra","Árbol caducifolio de gran porte, originario de Norteamérica, cultivado como ornamental y de sombra por su follaje llamativo que se torna rojo intenso en otoño. Puede superar los 20-25 m de altura en su madurez, con copa amplia y redondeada. Prefiere sol pleno, suelo profundo, fértil y bien drenado; tolera bien el frío y crece rápido comparado con robles nativos. Ideal para parques, avenidas amplias y jardines grandes donde se necesite sombra y valor otoñal."
