slug,Description,Suelo,Exposicion,Riego,Tamano,Florece,Fruta,Utilizacion,Propagacion
nalca-gunnera-tinctoria,,"• Muy húmedo a encharcado
• Rico en materia orgánica
• Prefiere suelos profundos y fértiles
• Ideal cerca de cursos de agua o zonas con drenaje lento","• Sombra parcial
• Tolera sol si hay alta humedad
• Prefiere protección del sol fuerte en verano","• Muy alto
• Requiere riego constante
• El suelo nunca debe secarse completamente
• Muy sensible a la sequía","• Altura: 1–2 m
• Hojas de hasta 1–2 m de diámetro
• Ocupa gran espacio horizontal","Octubre – enero
Floración poco ornamental (inflorescencias grandes)","Sí (estructura floral no comestible)
• Lo comestible es el pecíolo (tallo)","• Uso gastronómico tradicional (consumo del tallo)
• Planta ornamental exótica para jardines húmedos
• Ideal para bordes de estanques o zonas de agua","• División de raíces o rizomas (más fácil y rápido)
• Semillas (más lento y menos común)"
quila-chusquea-quila,,"• Húmedo y rico en materia orgánica
• Tolera suelos arcillosos si no se compactan demasiado
• Prefiere suelos ligeramente ácidos
• No tolera suelos secos por largo tiempo","• Sombra parcial a sombra
• Tolera sol solo si el suelo se mantiene húmedo
• Ideal bajo árboles o zonas protegidas","• Alto
• Necesita riego frecuente en verano
• Mantener el suelo constantemente húmedo
• Muy sensible a la sequía","• Altura: 3–6 m
• Expansión horizontal mediante rizomas
• Forma macizos densos tipo ""muro verde""","Floración muy rara (puede ocurrir cada varias décadas)
No tiene valor ornamental regular",No relevante (no se utiliza por fruto),"• Cercos vivos naturales
• Pantallas de privacidad
• Protección contra viento
• Restauración ecológica y jardines nativos","• División de matas o rizomas (método más rápido)
• Propagación por semillas muy poco común
• Puede expandirse — se recomienda controlar el crecimiento"
cipres-cordillera-austrocedrus-chilensis,,"• Bien drenado
• Tolera suelos pobres, pedregosos o arenosos
• No tolera encharcamiento
• Se adapta a suelos de baja fertilidad","• Sol pleno
• Requiere buena exposición solar para crecer correctamente","• Bajo
• Riego solo en etapa inicial (primeros 1–2 años)
• Luego muy resistente a la sequía
• Evitar exceso de agua","• Altura: 10–20 m
• Crecimiento lento a moderado
• Forma cónica y elegante",No presenta floración ornamental visible,"Sí (conos pequeños)
• Sin uso comestible","• Reforestación y recuperación de suelos
• Jardines de bajo mantenimiento
• Cortinas cortaviento
• Uso ornamental en paisajismo","• Semillas (principal método)
• Germinación lenta
• Cultivo requiere paciencia en etapas iniciales"
coigue-magallanes-nothofagus-betuloides,,"• Húmedo y profundo
• Rico en materia orgánica
• Tolera suelos ácidos
• No tolera sequía ni suelos secos prolongados","• Sol parcial a sol pleno
• Tolera sombra en etapas jóvenes
• Mejor desarrollo con buena luz en climas fríos","• Moderado a alto
• Requiere humedad constante
• No dejar secar el suelo
• Sensible a sequías prolongadas","• Altura: 10–20 m
• Copa densa
• Crecimiento lento a moderado","Octubre – diciembre
Floración poco visible, sin valor ornamental","Sí (semillas pequeñas)
• Sin uso comestible","• Restauración de bosque nativo
• Proyectos ecológicos
• Sombra en grandes espacios
• Jardines naturales en zonas frías y húmedas","• Semillas (requiere estratificación en frío)
• Germinación lenta
• Propagación principalmente en vivero"
chilco-fuchsia-magellanica,,"• Fértil y bien drenado
• Rico en materia orgánica
• Prefiere suelos húmedos
• Tolera suelos ligeramente ácidos","• Sombra parcial
• Tolera sol suave (mañana o tarde)
• Evitar sol fuerte directo en verano","• Moderado a alto
• Mantener el suelo húmedo
• No dejar secar completamente
• Sensible a sequía prolongada","• Altura: 1–3 m
• Ancho: 1–2 m
• Arbusto de crecimiento rápido y forma abierta","Octubre – marzo
Floración abundante y prolongada","Sí (pequeñas bayas)
• Comestibles pero poco utilizadas","• Ornamental (floración muy atractiva)
• Atracción de polinizadores (picaflores)
• Jardines húmedos y sombreados","• Esquejes (muy fácil y rápido)
• También por semillas (más lento)"
rauli-nothofagus-alpina,,"• Profundo y fértil
• Bien drenado
• Prefiere suelos ricos en materia orgánica
• No tolera suelos muy pobres o compactados","• Sol pleno
• Necesita buena exposición para crecer correctamente","• Moderado
• Riego regular en etapas jóvenes
• Luego tolera periodos cortos de sequía","• Altura: 20–30 m
• Copa amplia y abierta
• Crecimiento rápido en condiciones adecuadas","Octubre – noviembre
Floración poco visible","Sí (semillas pequeñas)
• Sin uso comestible","• Árbol de sombra para grandes espacios
• Uso forestal (madera)
• Paisajismo en parcelas y campos","• Semillas (requieren estratificación en frío)
• Germinación moderada
• Propagación principalmente en vivero"
alerce-fitzroya-cupressoides,Árbol milenario único — ideal para proyectos especiales y conservación,"• Húmedo y ácido
• Rico en materia orgánica
• Prefiere suelos profundos
• No tolera sequía","• Sol parcial
• Tolera sombra ligera en etapas jóvenes","• Moderado
• Requiere humedad constante
• No tolera sequía prolongada","• Altura: 30–50 m
• Crecimiento extremadamente lento
• Árbol de gran longevidad","Octubre – diciembre
Floración no ornamental","Sí (conos pequeños)
• Sin uso comestible","• Valor ecológico y conservación
• Uso ornamental en proyectos especiales
• Coleccionismo de especies nativas","• Semillas (muy lento)
• Propagación compleja en vivero"
lenga-nothofagus-pumilio,Árbol resistente al frío con hermoso color otoñal,"• Bien drenado
• Tolera suelos pobres y pedregosos
• Prefiere suelos frescos
• No tolera suelos muy secos por largo tiempo","• Sol pleno
• Necesita buena exposición para desarrollarse correctamente","• Moderado
• Requiere riego en etapa joven
• Luego tolera condiciones frías con humedad natural","• Altura: 10–20 m
• Copa media y forma variable
• Crecimiento moderado","Octubre – noviembre
Floración poco visible","Sí (semillas pequeñas)
• Sin uso comestible","• Paisajismo en zonas frías
• Reforestación y restauración ecológica
• Árbol de sombra en climas de montaña","• Semillas (requieren frío para germinar)
• Propagación principalmente en vivero"
araucaria-araucana,Árbol icónico de Chile con piñones comestibles y gran valor ornamental,"• Bien drenado
• Tolera suelos pobres y volcánicos
• Prefiere suelos profundos
• No tolera encharcamiento","• Sol pleno
• Requiere espacio abierto
• No tolera sombra prolongada","• Bajo a moderado
• Riego en etapa joven
• Muy resistente a sequía una vez establecida","• Altura: 20–30 m
• Ancho: 6–10 m
• Crecimiento lento
• Estructura muy definida y ornamental","Octubre – diciembre
Floración poco visible","Sí (piñones)
• Semillas comestibles muy valoradas
• Producción en árboles adultos","• Alimenticio (piñones)
• Ornamental como árbol protagonista
• Valor cultural y paisajístico","• Semillas (proceso lento)
• Germinación moderada
• No tolera trasplantes frecuentes"
roble-nothofagus-obliqua,Árbol de rápido crecimiento ideal para sombra en grandes espacios,"• Profundo y fértil
• Bien drenado
• Prefiere suelos ricos en materia orgánica
• Tolera suelos moderadamente pobres","• Sol pleno
• Necesita buena exposición para un crecimiento óptimo","• Moderado
• Requiere riego en etapa joven
• Luego tolera periodos cortos de sequía","• Altura: 20–30 m
• Copa amplia y densa
• Crecimiento rápido","Octubre – noviembre
Floración poco visible","Sí (semillas pequeñas)
• Sin uso comestible","• Árbol de sombra para grandes espacios
• Uso forestal y producción de madera
• Restauración ecológica","• Semillas (requieren estratificación en frío)
• Germinación moderada"
