slug,Title,Cientifico,Description,Suelo,Exposicion,Riego,Tamano,Florece,Fruta,Utilizacion,Propagacion,Frase
"abelia","Abelia","Abelia × grandiflora","Arbusto ornamental muy apreciado por su floración prolongada, su fácil mantenimiento y su aspecto elegante durante gran parte del año. Produce pequeñas flores aromáticas que atraen abejas y mariposas, aportando vida al jardín. Ideal para bordes, cercos bajos, macizos y jardines de bajo mantenimiento. Su follaje puede tomar tonos rojizos en otoño e invierno.","• Bien drenado
• Tolera distintos tipos de suelo
• Prefiere sustrato fértil y aireado
• Evitar encharcamiento prolongado","• Sol pleno a semisombra
• Florece mejor con buena luz
• Tolera algo de sombra","• Moderado
• Regar regularmente en verano
• Tolera sequía ligera una vez establecida
• Evitar exceso de agua","• Altura: 1–2 m
• Ancho: 1–2 m
• Arbusto compacto y redondeado
• Crecimiento moderado","Octubre – abril
Floración muy prolongada y abundante
Flores blancas o rosadas ligeramente aromáticas","No relevante","• Ornamental para jardines y bordes
• Cercos bajos decorativos
• Atracción de polinizadores
• Jardines de bajo mantenimiento","• Esquejes (muy fácil)
• También por división","Floración prolongada y elegante con muy poco mantenimiento"

"azalea","Azalea","Rhododendron simsii","Arbusto ornamental famoso por su impresionante floración primaveral. Sus flores cubren casi completamente la planta, creando un efecto visual muy llamativo. Ideal para jardines húmedos y sombreados. Muy utilizada en paisajismo japonés y jardines ornamentales. Requiere ciertas condiciones de suelo, pero recompensa con una de las floraciones más espectaculares del jardín.","• Ácido y rico en materia orgánica
• Muy bien drenado
• Mantener humedad constante
• No tolera suelos calcáreos","• Sombra parcial
• Luz suave o filtrada
• Evitar sol fuerte de tarde","• Moderado a alto
• Mantener sustrato húmedo
• No dejar secar completamente
• Sensible a sequía extrema","• Altura: 0.8–2 m
• Arbusto compacto y muy ornamental
• Crecimiento moderado","Septiembre – noviembre
Floración extremadamente abundante
Gran variedad de colores intensos","No relevante","• Ornamental premium
• Jardines japoneses
• Macizos florales
• Jardines de sombra","• Esquejes
• Injertos en variedades especiales","Una de las floraciones más espectaculares para jardines sombreados"

"aucuba","Aucuba","Aucuba japonica","Arbusto siempreverde muy resistente y perfecto para zonas de sombra donde muchas otras plantas no prosperan. Destaca por su follaje brillante y decorativo, especialmente en variedades variegadas. Es excelente para patios interiores, jardines húmedos y espacios con poca luz. Requiere muy poco mantenimiento.","• Fértil y bien drenado
• Tolera distintos tipos de suelo
• Prefiere humedad moderada","• Sombra parcial a sombra
• Excelente para zonas con poca luz
• Evitar sol fuerte directo","• Moderado
• Mantener humedad ligera
• Tolera periodos cortos de sequía","• Altura: 1–3 m
• Arbusto denso y compacto
• Crecimiento lento a moderado","Septiembre – noviembre
Floración pequeña y discreta","Sí (bayas rojas decorativas en plantas femeninas)
• Muy ornamentales","• Jardines de sombra
• Patios interiores
• Follaje decorativo todo el año","• Esquejes (muy recomendado)","Perfecta para dar vida y color a jardines con poca luz"

"acer-japones","Acer japonés","Acer palmatum","Árbol ornamental de gran valor paisajístico, famoso por la belleza y delicadeza de sus hojas. Sus colores cambian espectacularmente en otoño, pasando por tonos rojos, naranjos y amarillos intensos. Ideal para jardines elegantes, patios y espacios contemplativos. Necesita cierta protección del sol fuerte y del viento.","• Fértil y bien drenado
• Ligera acidez ideal
• Rico en materia orgánica
• Evitar suelos secos","• Semisombra
• Sol suave de mañana
• Proteger del sol fuerte de tarde","• Moderado
• Mantener humedad regular
• Sensible a sequía y calor extremo","• Altura: 2–6 m
• Forma elegante y ramificada
• Crecimiento lento a moderado","Septiembre – octubre
Floración discreta","Sí (semillas aladas decorativas)","• Jardines japoneses
• Ornamental premium
• Macetas grandes y patios","• Injertos
• Semillas (más lento)","Colores otoñales espectaculares para jardines elegantes"

"berberis","Berberis","Berberis thunbergii","Arbusto muy resistente y decorativo, valorado por su follaje colorido y su capacidad de formar cercos naturales defensivos gracias a sus espinas. Algunas variedades presentan hojas rojas, púrpuras o amarillas muy llamativas. Tolera bien poda, frío y sequía.","• Bien drenado
• Tolera suelos pobres
• Muy adaptable","• Sol pleno
• Mejor coloración con buena luz","• Bajo a moderado
• Bastante resistente a sequía","• Altura: 1–2 m
• Arbusto compacto y espinoso
• Crecimiento moderado","Septiembre – noviembre
Floración pequeña amarilla","Sí (bayas rojas decorativas)
• Persisten en invierno","• Cercos vivos
• Seguridad natural
• Ornamental por follaje","• Esquejes
• Semillas","Resistente, colorido y excelente para cercos decorativos"

